Great Wildebeest,lon,lat,DATE
start,34.83640107,-2.800826593,01-01-2021
p1,34.59690112,-2.941783271,01-02-2021
p2,34.54985649,-2.638491878,01-03-2021
p3,34.39589224,-2.450498968,01-04-2021
p4,34.20343693,-2.215470941,01-05-2021
p5,34.06825457,-2.094023083,01-06-2021
p6,34.28781096,-1.977984848,01-07-2021
p7,34.67580141,-1.771191166,01-08-2021
p8,34.88484748,-1.453970207,01-09-2021
p9,35.20567818,-1.628415675,01-10-2021
p10,35.15675455,-1.77198209,01-11-2021
p11,35.25298277,-1.998629091,01-12-2021
